run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
11,1000,net_eth0,1201.0,184.94921875,1182.0,509.014648438
11,2000,net_eth0,1522.0,213.272460938,1481.0,809.500976562
11,3000,net_eth0,1719.0,250.245117188,1701.0,569.625
11,4000,net_eth0,1711.0,245.02734375,1687.0,645.650390625
11,5000,net_eth0,1840.0,269.57421875,1828.0,521.048828125
11,6000,net_eth0,1818.0,250.7109375,1762.0,987.05078125
11,7000,net_eth0,1833.0,250.703125,1767.0,1160.77929688
11,8000,net_eth0,1893.0,269.770507812,1867.0,718.630859375
11,9000,net_eth0,1817.0,250.70703125,1760.0,988.59375
11,10000,net_eth0,2026.0,292.404296875,1993.0,805.822265625
11,11000,net_eth0,1836.0,261.842773438,1804.0,760.2578125
11,12000,net_eth0,1946.0,280.741210938,1925.0,657.068359375
11,13000,net_eth0,1870.0,273.081054688,1858.0,514.515625
11,14000,net_eth0,1987.0,278.861328125,1944.0,903.676757812
11,15000,net_eth0,1774.0,255.5,1747.0,700.708007812
11,16000,net_eth0,1960.0,275.172851562,1907.0,946.678710938
11,17000,net_eth0,1862.0,269.947265625,1839.0,648.721679688
11,18000,net_eth0,1975.0,286.069335938,1955.0,668.556640625
11,19000,net_eth0,1771.0,252.157226562,1738.0,766.655273438
11,20000,net_eth0,2021.0,284.303710938,1966.0,1020.55566406
11,21000,net_eth0,1897.0,277.420898438,1888.0,535.216796875
11,22000,net_eth0,2115.0,286.352539062,2037.0,1282.42578125
11,23000,net_eth0,1969.0,273.813476562,1915.0,1016.98535156
11,24000,net_eth0,1748.0,249.418945312,1715.0,744.952148438
11,25000,net_eth0,1950.0,278.217773438,1917.0,785.314453125
11,26000,net_eth0,2037.0,284.744140625,1984.0,1039.44042969
11,27000,net_eth0,2066.0,293.153320312,2024.0,932.157226562
11,28000,net_eth0,1813.0,261.4453125,1792.0,633.572265625
11,29000,net_eth0,2018.0,286.34375,1986.0,789.380859375
11,30000,net_eth0,1987.0,278.7421875,1935.0,1026.60839844
11,31000,net_eth0,2090.0,286.606445312,2029.0,1150.2578125
11,32000,net_eth0,1738.0,243.306640625,1698.0,855.4921875
11,33000,net_eth0,2030.0,282.1953125,1973.0,1030.16015625
11,34000,net_eth0,1935.0,279.513671875,1912.0,659.508789062
11,35000,net_eth0,2045.0,290.32421875,2004.0,922.482421875
11,36000,net_eth0,1849.0,256.03125,1806.0,855.012695312
11,37000,net_eth0,1880.0,269.038085938,1846.0,769.61328125
11,38000,net_eth0,2020.0,280.841796875,1971.0,975.8671875
11,39000,net_eth0,1942.0,276.145507812,1907.0,825.263671875
11,40000,net_eth0,2070.0,288.375,2016.0,1033.41503906
11,41000,net_eth0,1788.0,243.352539062,1723.0,1111.8203125
11,42000,net_eth0,1900.0,261.901367188,1856.0,866.905273438
11,43000,net_eth0,1846.0,270.724609375,1840.0,457.940429688
11,44000,net_eth0,2026.0,272.673828125,1948.0,1323.03515625
11,45000,net_eth0,1896.0,261.756835938,1842.0,1010.44921875
11,46000,net_eth0,1973.0,288.109375,1951.0,671.715820312
11,47000,net_eth0,1777.0,254.216796875,1749.0,724.702148438
11,48000,net_eth0,2038.0,288.981445312,1992.0,947.221679688
11,49000,net_eth0,1823.0,272.372070312,1822.0,403.715820312
11,50000,net_eth0,2098.0,283.106445312,2014.0,1407.8046875
11,51000,net_eth0,1866.0,256.9921875,1814.0,988.588867188
11,52000,net_eth0,2086.0,294.451171875,2040.0,985.302734375
11,53000,net_eth0,2055.0,286.756835938,2007.0,982.944335938
11,54000,net_eth0,1944.0,273.591796875,1904.0,897.525390625
11,55000,net_eth0,1950.0,270.375,1886.0,1140.52246094
11,56000,net_eth0,1849.0,249.921875,1775.0,1233.43457031
11,57000,net_eth0,2080.0,293.016601562,2027.0,1056.5546875
11,58000,net_eth0,1990.0,286.676757812,1968.0,666.515625
11,59000,net_eth0,1983.0,283.306640625,1952.0,792.69921875
11,60000,net_eth0,1750.0,248.086914062,1719.0,743.924804688
11,61000,net_eth0,1875.0,275.120117188,1864.0,527.587890625
11,62000,net_eth0,1905.0,268.549804688,1863.0,895.3359375
11,63000,net_eth0,2058.0,292.748046875,2003.0,1063.10253906
11,64000,net_eth0,1771.0,247.071289062,1739.0,720.940429688
11,65000,net_eth0,2136.0,289.096679688,2040.0,1534.62304688
11,66000,net_eth0,2013.0,292.31640625,1991.0,693.021484375
11,67000,net_eth0,2085.0,291.608398438,2032.0,1074.27246094
11,68000,net_eth0,1954.0,276.094726562,1914.0,875.272460938
11,69000,net_eth0,1957.0,269.260742188,1890.0,1145.71191406
11,70000,net_eth0,2025.0,292.44140625,2004.0,673.737304688
11,71000,net_eth0,1916.0,279.21484375,1904.0,533.6328125
11,72000,net_eth0,2005.0,279.623046875,1961.0,901.051757812
11,73000,net_eth0,1857.0,261.208984375,1813.0,880.837890625
11,74000,net_eth0,1954.0,290.62890625,1954.0,432.8671875
11,75000,net_eth0,2008.0,284.483398438,1971.0,853.522460938
11,76000,net_eth0,2059.0,284.672851562,2003.0,1098.01757812
11,77000,net_eth0,1738.0,248.166015625,1704.0,739.942382812
11,78000,net_eth0,2029.0,284.86328125,1985.0,907.0078125
11,79000,net_eth0,1986.0,281.499023438,1942.0,914.780273438
11,80000,net_eth0,1977.0,281.673828125,1945.0,785.291015625
11,81000,net_eth0,1675.0,241.852539062,1650.0,602.466796875
11,82000,net_eth0,1950.0,281.607421875,1930.0,664.859375
11,83000,net_eth0,2011.0,278.997070312,1945.0,1156.68359375
11,84000,net_eth0,2084.0,281.041015625,1993.0,1402.84960938
11,85000,net_eth0,2029.0,275.046875,1948.0,1268.34082031
11,86000,net_eth0,1723.0,237.639648438,1677.0,836.030273438
11,87000,net_eth0,2023.0,292.873046875,2002.0,681.665039062
11,88000,net_eth0,1933.0,279.623046875,1912.0,657.734375
11,89000,net_eth0,2054.0,288.346679688,2012.0,917.903320312
11,90000,net_eth0,1867.0,265.630859375,1832.0,758.155273438
11,91000,net_eth0,1874.0,269.421875,1853.0,645.12109375
11,92000,net_eth0,1860.0,264.135742188,1827.0,761.802734375
11,93000,net_eth0,2039.0,288.094726562,1996.0,909.899414062
11,94000,net_eth0,1958.0,265.752929688,1873.0,1384.56347656
11,95000,net_eth0,1985.0,279.790039062,1944.0,911.053710938
11,96000,net_eth0,2008.0,280.314453125,1955.0,1030.52929688
11,97000,net_eth0,1974.0,279.559570312,1942.0,773.797851562
