run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
11,99,90,90,NEW_ORDER,0,0,0
11,135,36,36,NEW_ORDER,0,0,0
11,156,20,20,PAYMENT,0,0,0
11,166,10,10,PAYMENT,0,0,0
11,177,10,10,STOCK_LEVEL,0,0,0
11,184,7,7,PAYMENT,0,0,0
11,229,45,45,NEW_ORDER,0,0,0
11,243,14,14,STOCK_LEVEL,0,0,0
11,275,32,32,NEW_ORDER,0,0,0
11,327,52,52,NEW_ORDER,0,0,0
11,335,8,8,PAYMENT,0,0,0
11,358,22,22,NEW_ORDER,0,0,0
11,366,8,8,PAYMENT,0,0,0
11,406,40,40,NEW_ORDER,0,0,0
11,432,25,25,NEW_ORDER,0,0,0
11,467,35,35,STOCK_LEVEL,0,0,0
11,473,6,6,PAYMENT,0,0,0
11,479,6,6,PAYMENT,0,0,0
11,505,26,26,NEW_ORDER,0,0,0
11,534,29,29,NEW_ORDER,0,0,0
11,554,20,20,NEW_ORDER,0,0,0
11,582,28,28,NEW_ORDER,0,0,0
11,586,4,4,STOCK_LEVEL,0,0,0
11,592,5,5,PAYMENT,0,0,0
11,599,7,7,PAYMENT,0,0,0
11,607,8,8,PAYMENT,0,0,0
11,621,13,13,NEW_ORDER,0,0,0
11,626,5,5,PAYMENT,0,0,0
11,630,4,4,PAYMENT,0,0,0
11,643,13,13,NEW_ORDER,0,0,0
11,648,5,5,PAYMENT,0,0,0
11,673,25,25,NEW_ORDER,0,0,0
11,674,0,0,DELIVERY,0,0,0
11,746,72,72,DELIVERY_BG,0,0,0
11,761,15,15,NEW_ORDER,0,0,0
11,766,5,5,PAYMENT,0,0,0
11,790,24,24,NEW_ORDER,0,0,0
11,810,20,20,NEW_ORDER,0,0,0
11,838,28,28,NEW_ORDER,0,0,0
11,865,27,27,NEW_ORDER,0,0,0
11,879,14,14,NEW_ORDER,0,0,0
11,885,6,6,PAYMENT,0,0,0
11,914,29,29,NEW_ORDER,0,0,0
11,919,5,5,PAYMENT,0,0,0
11,924,5,5,PAYMENT,0,0,0
11,943,19,19,NEW_ORDER,0,0,0
11,964,21,21,NEW_ORDER,0,0,0
11,991,27,27,NEW_ORDER,0,0,0
11,1005,14,14,NEW_ORDER,0,0,0
11,1026,20,20,NEW_ORDER,0,0,0
11,1048,22,22,NEW_ORDER,0,0,0
11,1055,7,7,PAYMENT,0,0,0
11,1060,5,5,PAYMENT,0,0,0
11,1079,19,19,STOCK_LEVEL,0,0,0
11,1106,27,27,NEW_ORDER,0,0,0
11,1129,23,23,NEW_ORDER,0,0,0
11,1143,14,14,NEW_ORDER,0,0,0
11,1148,5,5,PAYMENT,0,0,0
11,1154,6,6,PAYMENT,0,0,0
11,1171,17,17,NEW_ORDER,0,0,0
11,1178,6,6,PAYMENT,0,0,0
11,1178,0,0,DELIVERY,0,0,0
11,1239,61,61,DELIVERY_BG,0,0,0
11,1249,9,9,PAYMENT,0,0,0
11,1269,20,20,NEW_ORDER,0,0,0
11,1285,16,16,NEW_ORDER,0,0,0
11,1290,5,5,PAYMENT,0,0,0
11,1296,6,6,PAYMENT,0,0,0
11,1313,17,17,NEW_ORDER,0,0,0
11,1327,14,14,NEW_ORDER,0,0,0
11,1350,23,23,NEW_ORDER,0,0,0
11,1369,19,19,NEW_ORDER,0,0,0
11,1382,12,12,NEW_ORDER,1,0,0
11,1388,6,6,PAYMENT,0,0,0
11,1405,17,17,NEW_ORDER,0,0,0
11,1410,5,5,PAYMENT,0,0,0
11,1414,4,4,PAYMENT,0,0,0
11,1436,22,22,NEW_ORDER,0,0,0
11,1440,4,4,PAYMENT,0,0,0
11,1458,17,17,STOCK_LEVEL,0,0,0
11,1480,21,21,NEW_ORDER,0,0,0
11,1504,24,24,NEW_ORDER,0,0,0
11,1520,16,16,NEW_ORDER,0,0,0
11,1520,0,0,DELIVERY,0,0,0
11,1596,76,76,DELIVERY_BG,0,0,0
11,1611,15,15,NEW_ORDER,0,0,0
11,1615,4,4,PAYMENT,0,0,0
11,1627,12,12,NEW_ORDER,0,0,0
11,1634,7,7,PAYMENT,0,0,0
11,1639,5,5,PAYMENT,0,0,0
11,1639,0,0,DELIVERY,0,0,0
11,1673,34,34,DELIVERY_BG,0,0,0
11,1678,5,5,PAYMENT,0,0,0
11,1699,21,21,NEW_ORDER,0,0,0
11,1699,0,0,DELIVERY,0,0,0
11,1740,41,41,DELIVERY_BG,0,0,0
11,1761,21,21,NEW_ORDER,0,0,0
11,1766,5,5,PAYMENT,0,0,0
11,1791,25,25,NEW_ORDER,0,0,0
11,1796,5,5,PAYMENT,0,0,0
11,1801,5,5,PAYMENT,0,0,0
11,1813,12,12,NEW_ORDER,0,0,0
11,1813,0,0,DELIVERY,0,0,0
11,1873,60,60,DELIVERY_BG,0,0,0
11,1878,5,5,PAYMENT,0,0,0
11,1880,2,2,STOCK_LEVEL,0,0,0
11,1886,6,6,PAYMENT,0,0,0
11,1909,23,23,NEW_ORDER,0,0,0
11,1914,5,5,PAYMENT,0,0,0
11,1934,20,20,NEW_ORDER,0,0,0
11,1954,20,20,NEW_ORDER,0,0,0
11,1975,21,21,NEW_ORDER,0,0,0
11,2003,28,28,NEW_ORDER,0,0,0
11,2017,14,14,PAYMENT,0,0,0
11,2032,15,15,PAYMENT,0,0,0
11,2049,17,17,NEW_ORDER,0,0,0
11,2060,11,11,NEW_ORDER,0,0,0
11,2077,17,17,NEW_ORDER,0,0,0
11,2104,27,27,NEW_ORDER,0,0,0
11,2117,12,12,NEW_ORDER,0,0,0
11,2122,5,5,PAYMENT,0,0,0
11,2133,11,11,NEW_ORDER,0,0,0
11,2138,5,5,PAYMENT,0,0,0
11,2142,4,4,PAYMENT,0,0,0
11,2147,5,5,PAYMENT,0,0,0
11,2166,19,19,NEW_ORDER,0,0,0
11,2178,12,12,STOCK_LEVEL,0,0,0
11,2188,10,10,ORDER_STATUS,0,0,0
11,2193,5,5,PAYMENT,0,0,0
11,2198,5,5,PAYMENT,0,0,0
11,2220,22,22,NEW_ORDER,0,0,0
11,2225,5,5,PAYMENT,0,0,0
11,2241,16,16,NEW_ORDER,0,0,0
11,2261,20,20,NEW_ORDER,0,0,0
11,2266,5,5,PAYMENT,0,0,0
11,2289,23,23,NEW_ORDER,0,0,0
11,2301,12,12,NEW_ORDER,0,0,0
11,2322,21,21,NEW_ORDER,0,0,0
11,2327,5,5,PAYMENT,0,0,0
11,2350,23,23,NEW_ORDER,0,0,0
11,2352,2,2,STOCK_LEVEL,0,0,0
11,2357,5,5,PAYMENT,0,0,0
11,2362,5,5,PAYMENT,0,0,0
11,2382,20,20,NEW_ORDER,0,0,0
11,2396,14,14,NEW_ORDER,0,0,0
11,2401,5,5,PAYMENT,0,0,0
11,2414,13,13,NEW_ORDER,0,0,0
11,2424,10,10,NEW_ORDER,0,0,0
11,2429,5,5,PAYMENT,0,0,0
11,2440,11,11,NEW_ORDER,0,0,0
11,2445,5,5,PAYMENT,0,0,0
11,2457,12,12,NEW_ORDER,0,0,0
11,2464,6,6,ORDER_STATUS,0,0,0
11,2468,4,4,PAYMENT,0,0,0
11,2473,4,4,PAYMENT,0,0,0
