run,elapsed,device,rdiops,rdmerges,rdkbps,wriops,wrmerges,wrkbps
12,1000,blk_vda,1700.0,15.0,132628.0,852.0,10.0,4056.0
12,2000,blk_vda,1634.0,0.0,118784.0,816.0,12.0,4056.0
12,3000,blk_vda,912.0,7.0,74248.0,2569.0,111.0,48624.0
12,4000,blk_vda,1449.0,0.0,118728.0,826.0,14.0,4192.0
12,5000,blk_vda,1211.0,0.0,106480.0,1364.0,29.0,16328.0
12,6000,blk_vda,1136.0,15.0,104352.0,832.0,18.0,4528.0
12,7000,blk_vda,884.0,0.0,77856.0,3204.0,66.0,59072.0
12,8000,blk_vda,1018.0,0.0,78240.0,2802.0,39.0,43928.0
12,9000,blk_vda,929.0,12.0,71256.0,2360.0,71.0,39856.0
12,10000,blk_vda,764.0,0.0,44864.0,1167.0,26.0,6368.0
12,11000,blk_vda,593.0,12.0,42680.0,3579.0,1002.0,20592.0
12,12000,blk_vda,484.0,23.0,34168.0,8357.0,562.0,130664.0
12,13000,blk_vda,558.0,0.0,33864.0,1894.0,34.0,21076.0
12,14000,blk_vda,780.0,0.0,41512.0,2159.0,43.0,20800.0
12,15000,blk_vda,476.0,0.0,34300.0,2942.0,615.0,16520.0
12,16000,blk_vda,231.0,35.0,13304.0,6497.0,1093.0,48044.0
12,17000,blk_vda,502.0,0.0,31096.0,8905.0,152.0,147320.0
12,18000,blk_vda,612.0,0.0,32192.0,1414.0,31.0,7672.0
12,19000,blk_vda,334.0,0.0,21776.0,4895.0,1032.0,36248.0
12,20000,blk_vda,207.0,20.0,10184.0,5849.0,1025.0,42044.0
12,21000,blk_vda,247.0,24.0,16348.0,6848.0,945.0,80504.0
12,22000,blk_vda,430.0,12.0,23256.0,5661.0,104.0,87784.0
12,23000,blk_vda,609.0,14.0,36244.0,2415.0,49.0,17800.0
12,24000,blk_vda,367.0,0.0,23832.0,3643.0,670.0,29372.0
12,25000,blk_vda,190.0,0.0,15168.0,5541.0,1176.0,35468.0
12,26000,blk_vda,344.0,25.0,19312.0,7926.0,581.0,120812.0
12,27000,blk_vda,250.0,0.0,19760.0,3291.0,62.0,46964.0
12,28000,blk_vda,551.0,32.0,32492.0,2138.0,49.0,20604.0
12,29000,blk_vda,478.0,0.0,26984.0,3101.0,757.0,17692.0
12,30000,blk_vda,234.0,16.0,13852.0,6765.0,1328.0,48700.0
12,31000,blk_vda,419.0,0.0,26832.0,9263.0,200.0,153728.0
12,32000,blk_vda,544.0,0.0,30624.0,1510.0,30.0,7976.0
12,33000,blk_vda,371.0,0.0,25680.0,3882.0,801.0,31052.0
12,34000,blk_vda,186.0,0.0,10208.0,4472.0,1211.0,25220.0
12,35000,blk_vda,194.0,0.0,15608.0,8931.0,1113.0,104008.0
12,36000,blk_vda,306.0,0.0,21544.0,6313.0,105.0,100996.0
12,37000,blk_vda,562.0,0.0,40940.0,1768.0,42.0,11828.0
12,38000,blk_vda,521.0,0.0,33088.0,3088.0,416.0,27548.0
12,39000,blk_vda,240.0,0.0,13592.0,4334.0,1247.0,24844.0
12,40000,blk_vda,271.0,13.0,18984.0,8209.0,741.0,116744.0
12,41000,blk_vda,386.0,0.0,22808.0,4244.0,97.0,65136.0
12,42000,blk_vda,486.0,10.0,29640.0,2961.0,64.0,32472.0
12,43000,blk_vda,432.0,0.0,33336.0,2531.0,484.0,14344.0
