run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
8,1000,net_eth0,2895.0,502.802734375,2850.0,1089.92480469
8,2000,net_eth0,771.0,116.986328125,774.0,386.154296875
8,3000,net_eth0,2903.0,407.09375,2812.0,1986.48242188
8,4000,net_eth0,1465.0,209.454101562,1446.0,701.094726562
8,5000,net_eth0,2848.0,400.830078125,2770.0,1574.60546875
8,6000,net_eth0,1701.0,254.01171875,1715.0,360.07421875
8,7000,net_eth0,2692.0,386.20703125,2678.0,999.12890625
8,8000,net_eth0,2074.0,305.434570312,2060.0,785.673828125
8,9000,net_eth0,2525.0,361.25390625,2484.0,1109.95214844
8,10000,net_eth0,2285.0,325.150390625,2274.0,871.041015625
8,11000,net_eth0,2093.0,290.583984375,2051.0,1015.65429688
8,12000,net_eth0,3062.0,442.971679688,3027.0,1167.66894531
8,13000,net_eth0,1847.0,271.4453125,1847.0,623.623046875
8,14000,net_eth0,3854.0,527.07421875,3739.0,2037.06640625
8,15000,net_eth0,1465.0,214.055664062,1472.0,441.930664062
8,16000,net_eth0,2489.0,348.202148438,2439.0,1194.86230469
8,17000,net_eth0,1827.0,269.12109375,1843.0,443.829101562
8,18000,net_eth0,1850.0,270.174804688,1845.0,654.791015625
8,19000,net_eth0,3123.0,450.8046875,3088.0,1110.54492188
8,20000,net_eth0,2211.0,312.323242188,2183.0,890.625
8,21000,net_eth0,3443.0,496.248046875,3417.0,1099.47558594
8,22000,net_eth0,1773.0,258.67578125,1779.0,499.141601562
8,23000,net_eth0,2876.0,412.623046875,2840.0,1078.86621094
8,24000,net_eth0,2549.0,353.881835938,2504.0,1173.05175781
8,25000,net_eth0,1732.0,238.19140625,1701.0,905.25
8,26000,net_eth0,2363.0,334.142578125,2320.0,1052.27734375
8,27000,net_eth0,1724.0,251.389648438,1716.0,605.612304688
8,28000,net_eth0,3376.0,479.874023438,3312.0,1448.64257812
8,29000,net_eth0,1180.0,168.249023438,1177.0,482.954101562
8,30000,net_eth0,2888.0,408.165039062,2833.0,1293.47558594
8,31000,net_eth0,1431.0,197.735351562,1405.0,735.2265625
8,32000,net_eth0,2818.0,407.755859375,2815.0,759.811523438
8,33000,net_eth0,1765.0,237.669921875,1708.0,1170.34375
8,34000,net_eth0,2455.0,350.5546875,2410.0,1028.1953125
8,35000,net_eth0,3270.0,468.502929688,3245.0,1056.09082031
8,36000,net_eth0,1886.0,268.28515625,1867.0,752.0625
8,37000,net_eth0,2714.0,383.725585938,2666.0,1284.9140625
8,38000,net_eth0,1671.0,232.749023438,1646.0,770.659179688
8,39000,net_eth0,3541.0,489.419921875,3427.0,1939.58300781
8,40000,net_eth0,1892.0,273.754882812,1876.0,695.267578125
8,41000,net_eth0,2106.0,291.178710938,2057.0,1120.99902344
