run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
8,30,22,22,PAYMENT,0,0,0
8,31,21,21,PAYMENT,0,0,0
8,31,27,27,PAYMENT,0,0,0
8,48,18,18,PAYMENT,0,0,0
8,56,25,25,PAYMENT,0,0,0
8,77,69,69,NEW_ORDER,0,0,0
8,90,82,82,NEW_ORDER,0,0,0
8,91,43,43,NEW_ORDER,0,0,0
8,93,62,62,NEW_ORDER,0,0,0
8,93,84,84,NEW_ORDER,0,0,0
8,105,12,12,PAYMENT,0,0,0
8,106,12,12,PAYMENT,0,0,0
8,107,16,16,PAYMENT,0,0,0
8,118,12,12,PAYMENT,0,0,0
8,118,13,13,PAYMENT,0,0,0
8,138,61,61,NEW_ORDER,0,0,0
8,151,33,33,NEW_ORDER,0,0,0
8,155,17,17,PAYMENT,0,0,0
8,158,40,40,NEW_ORDER,0,0,0
8,171,80,80,NEW_ORDER,0,0,0
8,174,16,16,PAYMENT,0,0,0
8,176,25,25,PAYMENT,0,0,0
8,184,128,128,STOCK_LEVEL,0,0,0
8,188,17,17,PAYMENT,0,0,0
8,189,12,12,ORDER_STATUS,0,0,0
8,192,18,18,PAYMENT,0,0,0
8,200,92,92,NEW_ORDER,0,0,0
8,203,19,19,PAYMENT,0,0,0
8,205,12,12,PAYMENT,0,0,0
8,221,65,65,NEW_ORDER,0,0,0
8,224,35,35,NEW_ORDER,0,0,0
8,225,22,22,PAYMENT,0,0,0
8,240,15,15,PAYMENT,0,0,0
8,243,55,55,NEW_ORDER,0,0,0
8,251,46,46,NEW_ORDER,0,0,0
8,264,43,43,NEW_ORDER,0,0,0
8,264,20,20,PAYMENT,0,0,0
8,271,47,47,NEW_ORDER,0,0,0
8,272,72,72,NEW_ORDER,0,0,0
8,277,13,13,PAYMENT,0,0,0
8,285,14,14,PAYMENT,0,0,0
8,285,13,13,PAYMENT,0,0,0
8,287,23,23,PAYMENT,0,0,0
8,292,52,52,NEW_ORDER,0,0,0
8,294,43,43,NEW_ORDER,0,0,0
8,299,14,14,PAYMENT,0,0,0
8,301,9,9,PAYMENT,0,0,0
8,313,12,12,PAYMENT,0,0,0
8,313,14,14,PAYMENT,0,0,0
8,313,36,36,NEW_ORDER,0,0,0
8,313,26,26,NEW_ORDER,0,0,0
8,319,34,34,NEW_ORDER,0,0,0
8,321,8,8,PAYMENT,0,0,0
8,327,14,14,PAYMENT,0,0,0
8,327,8,8,ORDER_STATUS,0,0,0
8,328,0,0,DELIVERY,0,0,0
8,338,17,17,PAYMENT,0,0,0
8,351,38,38,NEW_ORDER,0,0,0
8,356,29,29,NEW_ORDER,0,0,0
8,362,49,49,NEW_ORDER,0,0,0
8,362,11,11,PAYMENT,0,0,0
8,364,8,8,ORDER_STATUS,0,0,0
8,375,37,37,NEW_ORDER,0,0,0
8,377,13,13,PAYMENT,0,0,0
8,379,17,17,PAYMENT,0,0,0
8,385,8,8,PAYMENT,0,0,0
8,389,13,13,PAYMENT,0,0,0
8,396,34,34,NEW_ORDER,0,0,0
8,401,16,16,PAYMENT,0,0,0
8,404,110,110,STOCK_LEVEL,0,0,0
8,405,9,9,PAYMENT,0,0,0
8,416,15,15,ORDER_STATUS,0,0,0
8,428,49,49,NEW_ORDER,0,0,0
8,428,23,23,PAYMENT,0,0,0
8,437,48,48,NEW_ORDER,0,0,0
8,439,23,23,NEW_ORDER,0,0,0
