run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
16,1000,net_eth0,2184.0,395.403320312,2157.0,850.551757812
16,2000,net_eth0,2510.0,422.447265625,2434.0,1266.83886719
16,3000,net_eth0,2768.0,489.698242188,2719.0,1103.31054688
16,4000,net_eth0,2599.0,451.393554688,2543.0,1182.65429688
16,5000,net_eth0,2993.0,505.866210938,2906.0,1497.82421875
16,6000,net_eth0,3067.0,521.073242188,2992.0,1390.80566406
16,7000,net_eth0,3070.0,539.96875,3011.0,1290.16601562
16,8000,net_eth0,3190.0,530.549804688,3075.0,1775.52539062
16,9000,net_eth0,3221.0,568.184570312,3151.0,1339.6171875
16,10000,net_eth0,3075.0,530.625,3005.0,1393.52148438
16,11000,net_eth0,3068.0,505.153320312,2942.0,1849.05664062
16,12000,net_eth0,3051.0,522.322265625,2963.0,1549.19726562
16,13000,net_eth0,3258.0,550.955078125,3162.0,1551.81933594
16,14000,net_eth0,3069.0,549.423828125,3016.0,1178.22558594
16,15000,net_eth0,3082.0,553.9375,3045.0,1053.55371094
16,16000,net_eth0,3071.0,545.015625,3037.0,1042.18652344
16,17000,net_eth0,3192.0,564.682617188,3127.0,1324.96386719
16,18000,net_eth0,3228.0,578.998046875,3177.0,1215.72851562
16,19000,net_eth0,3233.0,556.506835938,3151.0,1562.95507812
16,20000,net_eth0,3225.0,570.185546875,3166.0,1200.11035156
16,21000,net_eth0,2954.0,512.744140625,2879.0,1384.08203125
16,22000,net_eth0,3161.0,573.024414062,3122.0,1081.34570312
16,23000,net_eth0,3380.0,558.78125,3225.0,2046.15136719
16,24000,net_eth0,3219.0,533.387695312,3116.0,1681.88769531
16,25000,net_eth0,3378.0,579.979492188,3275.0,1726.83691406
16,26000,net_eth0,2968.0,539.479492188,2945.0,908.037109375
16,27000,net_eth0,3221.0,545.876953125,3121.0,1682.96191406
16,28000,net_eth0,3159.0,515.426757812,3014.0,2015.6796875
16,29000,net_eth0,3112.0,537.821289062,3038.0,1417.28417969
16,30000,net_eth0,3148.0,544.680664062,3081.0,1295.03710938
16,31000,net_eth0,3080.0,509.192382812,2959.0,1749.23242188
16,32000,net_eth0,3173.0,573.243164062,3126.0,1211.52929688
16,33000,net_eth0,3149.0,567.967773438,3106.0,1075.19726562
16,34000,net_eth0,3160.0,550.624023438,3091.0,1302.90625
16,35000,net_eth0,3196.0,540.7421875,3095.0,1740.69726562
16,36000,net_eth0,3231.0,556.44921875,3150.0,1493.06933594
16,37000,net_eth0,3327.0,577.240234375,3238.0,1591.19140625
16,38000,net_eth0,3071.0,541.543945312,3009.0,1295.46679688
16,39000,net_eth0,3159.0,545.208007812,3080.0,1427.20214844
16,40000,net_eth0,3244.0,565.46875,3169.0,1452.88476562
16,41000,net_eth0,3280.0,579.743164062,3224.0,1339.31738281
16,42000,net_eth0,3325.0,560.047851562,3217.0,1690.36816406
16,43000,net_eth0,3151.0,561.30859375,3099.0,1243.63476562
16,44000,net_eth0,2981.0,510.166992188,2915.0,1325.73632812
16,45000,net_eth0,3342.0,569.040039062,3234.0,1707.70507812
16,46000,net_eth0,3352.0,567.970703125,3248.0,1694.41699219
16,47000,net_eth0,3230.0,567.248046875,3164.0,1337.77539062
16,48000,net_eth0,2964.0,530.169921875,2933.0,1025.68457031
16,49000,net_eth0,3394.0,551.578125,3228.0,2194.83007812
16,50000,net_eth0,3314.0,558.546875,3204.0,1785.76757812
16,51000,net_eth0,3306.0,544.723632812,3185.0,1834.93945312
16,52000,net_eth0,3085.0,528.616210938,2994.0,1533.17285156
16,53000,net_eth0,3257.0,579.247070312,3193.0,1346.359375
16,54000,net_eth0,3194.0,550.169921875,3116.0,1422.31347656
16,55000,net_eth0,3245.0,559.799804688,3173.0,1437.98828125
16,56000,net_eth0,3305.0,557.056640625,3205.0,1682.68457031
16,57000,net_eth0,3323.0,575.220703125,3250.0,1460.15234375
16,58000,net_eth0,3330.0,569.590820312,3223.0,1576.58007812
16,59000,net_eth0,3359.0,551.875976562,3231.0,1936.96972656
16,60000,net_eth0,3092.0,533.3828125,3016.0,1407.60253906
16,61000,net_eth0,3340.0,564.12109375,3234.0,1692.84082031
16,62000,net_eth0,3288.0,567.268554688,3197.0,1571.86132812
16,63000,net_eth0,3298.0,537.283203125,3172.0,1912.1953125
16,64000,net_eth0,3052.0,550.4921875,3009.0,1093.30761719
16,65000,net_eth0,3175.0,525.78515625,3046.0,1862.85742188
16,66000,net_eth0,3003.0,511.234375,2915.0,1513.40332031
16,67000,net_eth0,3220.0,537.294921875,3110.0,1797.63574219
16,68000,net_eth0,3133.0,564.782226562,3091.0,1066.73632812
16,69000,net_eth0,3177.0,568.4140625,3122.0,1200.24707031
16,70000,net_eth0,3212.0,533.780273438,3083.0,1786.52148438
16,71000,net_eth0,3331.0,572.928710938,3233.0,1714.88867188
16,72000,net_eth0,3351.0,564.12109375,3221.0,1962.45507812
16,73000,net_eth0,3108.0,548.884765625,3046.0,1304.09765625
16,74000,net_eth0,3054.0,533.372070312,2991.0,1277.54296875
16,75000,net_eth0,3389.0,535.9140625,3217.0,2292.81054688
16,76000,net_eth0,3284.0,553.549804688,3173.0,1816.515625
16,77000,net_eth0,3299.0,548.528320312,3196.0,1667.70605469
16,78000,net_eth0,3212.0,544.498046875,3120.0,1545.63671875
16,79000,net_eth0,3225.0,552.670898438,3140.0,1559.93554688
16,80000,net_eth0,3144.0,566.264648438,3105.0,1143.859375
16,81000,net_eth0,3139.0,548.237304688,3074.0,1226.23632812
16,82000,net_eth0,3279.0,585.379882812,3211.0,1356.96875
16,83000,net_eth0,3217.0,551.438476562,3140.0,1415.88183594
16,84000,net_eth0,3147.0,567.388671875,3121.0,947.825195312
16,85000,net_eth0,3255.0,542.84375,3160.0,1664.18066406
16,86000,net_eth0,3074.0,531.124023438,3003.0,1410.96777344
16,87000,net_eth0,3237.0,561.979492188,3157.0,1440.62597656
16,88000,net_eth0,3175.0,570.911132812,3141.0,1076.3203125
16,89000,net_eth0,3245.0,551.16796875,3155.0,1556.60058594
16,90000,net_eth0,3314.0,549.912109375,3191.0,1932.57519531
16,91000,net_eth0,3217.0,551.283203125,3116.0,1690.27441406
16,92000,net_eth0,3179.0,574.30078125,3141.0,1082.80175781
16,93000,net_eth0,3264.0,573.744140625,3177.0,1462.18945312
16,94000,net_eth0,2942.0,514.13671875,2877.0,1259.8671875
16,95000,net_eth0,3271.0,566.890625,3194.0,1452.4453125
16,96000,net_eth0,3298.0,569.069335938,3200.0,1619.18652344
16,97000,net_eth0,3190.0,567.482421875,3154.0,1028.65722656
16,98000,net_eth0,3320.0,577.578125,3246.0,1469.4296875
16,99000,net_eth0,3363.0,586.907226562,3285.0,1474.08105469
16,100000,net_eth0,3311.0,553.569335938,3185.0,1944.86132812
16,101000,net_eth0,2978.0,517.270507812,2912.0,1267.61621094
16,102000,net_eth0,3263.0,548.188476562,3151.0,1670.66894531
16,103000,net_eth0,3082.0,528.185546875,2997.0,1529.38867188
16,104000,net_eth0,3431.0,571.280273438,3305.0,1963.59375
16,105000,net_eth0,3393.0,552.923828125,3243.0,2198.44238281
16,106000,net_eth0,3174.0,546.130859375,3087.0,1555.74023438
16,107000,net_eth0,3243.0,555.094726562,3166.0,1435.22167969
16,108000,net_eth0,3334.0,586.5859375,3237.0,1607.90429688
16,109000,net_eth0,3151.0,553.71484375,3099.0,1177.89941406
16,110000,net_eth0,3067.0,533.348632812,2997.0,1409.5703125
16,111000,net_eth0,3313.0,556.26171875,3196.0,1817.36328125
16,112000,net_eth0,3181.0,569.9609375,3145.0,1074.00097656
16,113000,net_eth0,3261.0,556.215820312,3156.0,1690.40917969
16,114000,net_eth0,3234.0,564.231445312,3161.0,1450.29785156
16,115000,net_eth0,3033.0,528.166015625,2962.0,1277.20507812
16,116000,net_eth0,3250.0,563.190429688,3162.0,1575.69238281
16,117000,net_eth0,3341.0,565.338867188,3239.0,1701.00390625
16,118000,net_eth0,3324.0,578.014648438,3233.0,1591.83007812
16,119000,net_eth0,3337.0,582.75390625,3258.0,1472.14746094
16,120000,net_eth0,3370.0,572.745117188,3249.0,1836.93945312
16,121000,net_eth0,3215.0,550.013671875,3126.0,1555.74707031
16,122000,net_eth0,3370.0,565.854492188,3246.0,1904.29003906
16,123000,net_eth0,3225.0,551.630859375,3137.0,1484.39160156
16,124000,net_eth0,3316.0,569.030273438,3224.0,1582.19335938
16,125000,net_eth0,3367.0,541.192382812,3214.0,2213.06835938
16,126000,net_eth0,2982.0,501.411132812,2891.0,1584.4765625
16,127000,net_eth0,3181.0,549.905273438,3122.0,1289.45410156
