run,elapsed,device,rdiops,rdmerges,rdkbps,wriops,wrmerges,wrkbps
18,1000,blk_vda,1025.0,0.0,105508.0,500.0,90.0,28728.0
18,2000,blk_vda,1147.0,0.0,96776.0,880.0,121.0,39900.0
18,3000,blk_vda,915.0,0.0,73908.0,1655.0,194.0,38072.0
18,4000,blk_vda,1115.0,18.0,87196.0,1749.0,264.0,49416.0
18,5000,blk_vda,1046.0,0.0,80920.0,1448.0,101.0,29532.0
18,6000,blk_vda,1184.0,13.0,83752.0,1365.0,92.0,35480.0
18,7000,blk_vda,839.0,0.0,51448.0,4924.0,223.0,74864.0
18,8000,blk_vda,711.0,22.0,36616.0,4473.0,281.0,76444.0
18,9000,blk_vda,532.0,30.0,33472.0,2188.0,202.0,44492.0
18,10000,blk_vda,376.0,16.0,22812.0,5092.0,233.0,70744.0
18,11000,blk_vda,346.0,0.0,27568.0,4626.0,163.0,61312.0
18,12000,blk_vda,751.0,0.0,52280.0,4583.0,418.0,80848.0
18,13000,blk_vda,736.0,27.0,42864.0,5152.0,343.0,78348.0
18,14000,blk_vda,737.0,0.0,41648.0,5251.0,202.0,65556.0
18,15000,blk_vda,733.0,29.0,48316.0,5096.0,346.0,72912.0
18,16000,blk_vda,723.0,14.0,37296.0,7291.0,291.0,85396.0
18,17000,blk_vda,509.0,0.0,29704.0,5619.0,193.0,82384.0
18,18000,blk_vda,690.0,19.0,40256.0,2562.0,210.0,58756.0
18,19000,blk_vda,710.0,6.0,37172.0,2763.0,254.0,58604.0
18,20000,blk_vda,593.0,12.0,30808.0,2872.0,766.0,62368.0
18,21000,blk_vda,628.0,12.0,35588.0,4162.0,168.0,94424.0
18,22000,blk_vda,622.0,61.0,32408.0,4236.0,314.0,86072.0
18,23000,blk_vda,868.0,63.0,47216.0,3935.0,141.0,71968.0
18,24000,blk_vda,923.0,0.0,60032.0,3960.0,177.0,68244.0
18,25000,blk_vda,859.0,0.0,54840.0,4318.0,246.0,74160.0
18,26000,blk_vda,916.0,12.0,55352.0,3868.0,176.0,64600.0
18,27000,blk_vda,848.0,0.0,54500.0,4253.0,249.0,67312.0
18,28000,blk_vda,956.0,0.0,52412.0,5123.0,237.0,76072.0
18,29000,blk_vda,782.0,14.0,54152.0,3718.0,200.0,63004.0
18,30000,blk_vda,875.0,24.0,54576.0,4526.0,204.0,63852.0
18,31000,blk_vda,1128.0,0.0,63248.0,4711.0,206.0,63696.0
18,32000,blk_vda,1097.0,0.0,60160.0,1755.0,166.0,35656.0
18,33000,blk_vda,1062.0,13.0,69856.0,3407.0,226.0,55416.0
18,34000,blk_vda,1048.0,0.0,58760.0,1538.0,156.0,36216.0
18,35000,blk_vda,1329.0,0.0,69712.0,1458.0,170.0,31676.0
18,36000,blk_vda,1220.0,27.0,67936.0,2091.0,195.0,39472.0
18,37000,blk_vda,977.0,0.0,52544.0,3048.0,156.0,46884.0
18,38000,blk_vda,961.0,14.0,42584.0,5321.0,436.0,84112.0
18,39000,blk_vda,879.0,2.0,50616.0,5978.0,293.0,78352.0
18,40000,blk_vda,879.0,13.0,44512.0,6710.0,314.0,83516.0
18,41000,blk_vda,457.0,0.0,25088.0,6391.0,249.0,87676.0
18,42000,blk_vda,891.0,0.0,58132.0,4578.0,283.0,64456.0
18,43000,blk_vda,630.0,5.0,38400.0,5760.0,244.0,84172.0
18,44000,blk_vda,772.0,14.0,49488.0,6308.0,666.0,73408.0
18,45000,blk_vda,743.0,0.0,47188.0,3758.0,170.0,80204.0
18,46000,blk_vda,911.0,0.0,53564.0,3191.0,101.0,67992.0
18,47000,blk_vda,1018.0,0.0,64544.0,1964.0,129.0,59632.0
18,48000,blk_vda,1339.0,0.0,81712.0,1287.0,125.0,47028.0
