run,elapsed,device,rxpktsps,rxkbps,txpktsps,txkbps
9,1000,net_eth0,3881.0,736.938476562,3833.0,1630.06152344
9,2000,net_eth0,3843.0,680.26171875,3772.0,1928.12890625
9,3000,net_eth0,7078.0,1213.02246094,6900.0,3526.26660156
9,4000,net_eth0,5278.0,891.940429688,5111.0,2955.49902344
9,5000,net_eth0,7247.0,1270.88867188,7114.0,3136.60058594
9,6000,net_eth0,10524.0,1770.70703125,10202.0,5621.87109375
9,7000,net_eth0,10045.0,1781.359375,9860.0,3953.32421875
9,8000,net_eth0,10110.0,1730.68652344,9843.0,4935.38378906
9,9000,net_eth0,11753.0,1998.26660156,11396.0,5931.85742188
9,10000,net_eth0,10530.0,1846.96972656,10302.0,4406.89160156
9,11000,net_eth0,11528.0,2016.64941406,11243.0,5316.07226562
9,12000,net_eth0,10857.0,1885.95800781,10595.0,4927.6171875
9,13000,net_eth0,11947.0,2087.89257812,11673.0,5349.00585938
9,14000,net_eth0,11799.0,2077.85839844,11538.0,5025.23925781
9,15000,net_eth0,10613.0,1819.30078125,10324.0,5182.65039062
9,16000,net_eth0,10437.0,1772.50976562,10121.0,5278.62597656
9,17000,net_eth0,11769.0,2007.41113281,11396.0,6135.02734375
9,18000,net_eth0,10037.0,1706.48339844,9737.0,5017.13671875
9,19000,net_eth0,10798.0,1821.46972656,10482.0,5344.33984375
9,20000,net_eth0,12075.0,2060.58398438,11693.0,6317.87597656
9,21000,net_eth0,11217.0,1949.27441406,10939.0,5163.56835938
9,22000,net_eth0,10272.0,1808.21289062,10032.0,4514.45703125
9,23000,net_eth0,11723.0,2067.66308594,11475.0,5028.99609375
9,24000,net_eth0,11106.0,1903.15527344,10790.0,5470.90429688
9,25000,net_eth0,11257.0,1978.47460938,11008.0,4786.40429688
9,26000,net_eth0,10494.0,1816.17382812,10221.0,4880.36230469
9,27000,net_eth0,11463.0,2022.06738281,11220.0,4899.09863281
9,28000,net_eth0,10665.0,1794.94726562,10334.0,5461.46875
9,29000,net_eth0,10897.0,1870.12988281,10586.0,5309.27832031
9,30000,net_eth0,12288.0,2133.48925781,12008.0,5343.54296875
9,31000,net_eth0,10439.0,1846.26953125,10252.0,4119.05664062
9,32000,net_eth0,11570.0,2043.31835938,11349.0,4647.07324219
9,33000,net_eth0,10857.0,1860.65039062,10589.0,4903.26171875
9,34000,net_eth0,11712.0,2033.45019531,11418.0,5343.52539062
9,35000,net_eth0,12283.0,2102.01953125,11895.0,6361.69335938
9,36000,net_eth0,10798.0,1846.58496094,10499.0,5170.22460938
9,37000,net_eth0,11848.0,2028.46386719,11510.0,5793.15722656
9,38000,net_eth0,10875.0,1918.68652344,10585.0,5687.51074219
9,39000,net_eth0,12230.0,2126.10742188,11939.0,5383.30859375
9,40000,net_eth0,11676.0,1999.24707031,11364.0,5475.33789062
9,41000,net_eth0,10942.0,1911.38476562,10701.0,4776.81738281
9,42000,net_eth0,12021.0,2076.73632812,11682.0,5828.63574219
9,43000,net_eth0,11052.0,1863.90917969,10704.0,5655.84179688
9,44000,net_eth0,12409.0,2124.83496094,12085.0,5904.22070312
9,45000,net_eth0,10666.0,1864.26269531,10418.0,4635.36132812
9,46000,net_eth0,11736.0,2075.84082031,11527.0,4584.70019531
9,47000,net_eth0,12044.0,2122.14550781,11792.0,5035.45898438
9,48000,net_eth0,12469.0,2131.62109375,12098.0,6001.65429688
9,49000,net_eth0,11526.0,2004.33203125,11261.0,5000.62695312
9,50000,net_eth0,11922.0,2061.96289062,11612.0,5478.03710938
9,51000,net_eth0,10499.0,1792.90332031,10236.0,4922.33300781
9,52000,net_eth0,11169.0,1965.48339844,10945.0,4593.75097656
9,53000,net_eth0,11814.0,2003.72851562,11498.0,5556.97363281
9,54000,net_eth0,11941.0,2064.97753906,11598.0,5805.22753906
9,55000,net_eth0,12009.0,2060.71386719,11694.0,5610.4296875
9,56000,net_eth0,11181.0,1939.89941406,10899.0,5167.35058594
9,57000,net_eth0,12404.0,2149.88769531,12088.0,5672.765625
9,58000,net_eth0,11413.0,2009.58496094,11187.0,4736.35058594
9,59000,net_eth0,11646.0,2091.20996094,11472.0,4196.58105469
9,60000,net_eth0,11362.0,1970.53222656,11075.0,5071.44433594
9,61000,net_eth0,11311.0,1939.37207031,11002.0,5518.19628906
9,62000,net_eth0,11720.0,1995.34277344,11375.0,5894.19335938
9,63000,net_eth0,11623.0,1966.890625,11269.0,5941.28222656
9,64000,net_eth0,11744.0,2013.96582031,11422.0,5660.08984375
9,65000,net_eth0,10772.0,1859.08691406,10490.0,5069.41015625
9,66000,net_eth0,12200.0,2074.16503906,11814.0,6226.97167969
9,67000,net_eth0,11624.0,1960.49707031,11263.0,5927.63964844
9,68000,net_eth0,11398.0,1931.06542969,11043.0,5773.12695312
9,69000,net_eth0,12799.0,2212.12988281,12453.0,6010.21777344
9,70000,net_eth0,11820.0,2062.49511719,11546.0,5180.421875
9,71000,net_eth0,11881.0,2056.16601562,11569.0,5425.81933594
9,72000,net_eth0,11903.0,2089.75292969,11651.0,5092.82324219
9,73000,net_eth0,11459.0,2036.39355469,11289.0,4207.546875
9,74000,net_eth0,11537.0,1966.7578125,11170.0,5929.35742188
9,75000,net_eth0,12152.0,2145.96386719,11941.0,4723.20996094
9,76000,net_eth0,12875.0,2178.57324219,12448.0,6927.109375
9,77000,net_eth0,12028.0,2029.36816406,11647.0,6234.31542969
9,78000,net_eth0,11233.0,1923.65332031,10931.0,5277.828125
9,79000,net_eth0,11671.0,1997.08203125,11316.0,5788.28613281
9,80000,net_eth0,11380.0,1993.84960938,11112.0,5098.16503906
9,81000,net_eth0,10884.0,1907.64160156,10633.0,4839.50488281
9,82000,net_eth0,11748.0,2067.09375,11558.0,4660.359375
9,83000,net_eth0,11557.0,1979.64160156,11245.0,5471.5390625
9,84000,net_eth0,11850.0,2087.75488281,11619.0,4836.22851562
9,85000,net_eth0,10607.0,1822.25,10305.0,5191.53320312
9,86000,net_eth0,11280.0,1985.4765625,11089.0,4383.55957031
9,87000,net_eth0,11782.0,2040.91015625,11497.0,5342.93066406
9,88000,net_eth0,11158.0,1968.21386719,10940.0,4523.44042969
9,89000,net_eth0,11968.0,2078.78808594,11688.0,5338.05761719
9,90000,net_eth0,10610.0,1857.53613281,10366.0,4733.70996094
9,91000,net_eth0,12773.0,2197.70019531,12400.0,6245.921875
9,92000,net_eth0,11222.0,1978.01269531,10994.0,4726.81542969
9,93000,net_eth0,11519.0,1993.50976562,11221.0,5384.140625
9,94000,net_eth0,11234.0,1948.27539062,10938.0,5325.23242188
9,95000,net_eth0,12533.0,2171.32421875,12192.0,5982.06445312
9,96000,net_eth0,11121.0,1972.27539062,10930.0,4316.41894531
9,97000,net_eth0,11590.0,1999.61523438,11302.0,5251.109375
9,98000,net_eth0,12373.0,2098.88671875,11991.0,6351.68554688
9,99000,net_eth0,10194.0,1795.80957031,9980.0,4318.609375
9,100000,net_eth0,12623.0,2196.46679688,12323.0,5575.67480469
9,101000,net_eth0,11906.0,2102.7578125,11676.0,4916.23046875
9,102000,net_eth0,11025.0,1935.56640625,10807.0,4353.29296875
9,103000,net_eth0,12304.0,2101.4609375,11959.0,6062.80371094
9,104000,net_eth0,11140.0,1949.37597656,10817.0,5596.47460938
9,105000,net_eth0,12718.0,2178.09667969,12389.0,5948.15429688
9,106000,net_eth0,12760.0,2243.95507812,12506.0,5342.68164062
9,107000,net_eth0,11080.0,1912.40136719,10785.0,5305.23242188
9,108000,net_eth0,12668.0,2182.3359375,12311.0,6047.6796875
9,109000,net_eth0,11659.0,1956.21289062,11238.0,6514.83105469
9,110000,net_eth0,10971.0,1895.95019531,10698.0,5057.60058594
9,111000,net_eth0,11368.0,1985.34375,11124.0,4717.84375
9,112000,net_eth0,12247.0,2141.22460938,11986.0,5292.82519531
9,113000,net_eth0,10923.0,1873.57617188,10617.0,5309.11328125
9,114000,net_eth0,11641.0,2001.56152344,11339.0,5352.33886719
9,115000,net_eth0,11285.0,1965.45507812,11001.0,5210.65332031
9,116000,net_eth0,12137.0,2074.8671875,11763.0,6153.39941406
9,117000,net_eth0,11253.0,1977.98828125,10999.0,4812.27246094
9,118000,net_eth0,11619.0,2033.92871094,11342.0,5191.00292969
9,119000,net_eth0,11255.0,2012.68847656,11094.0,4141.63183594
9,120000,net_eth0,12586.0,2183.55957031,12261.0,5785.04589844
9,121000,net_eth0,10828.0,1866.34179688,10560.0,4867.0390625
9,122000,net_eth0,12359.0,2092.52441406,11956.0,6539.69726562
9,123000,net_eth0,11793.0,2031.75878906,11497.0,5551.37304688
9,124000,net_eth0,11968.0,2038.77929688,11614.0,6003.23144531
9,125000,net_eth0,10524.0,1857.78222656,10321.0,4203.78613281
9,126000,net_eth0,12323.0,2174.46191406,12086.0,4933.04785156
9,127000,net_eth0,11719.0,2032.7578125,11398.0,5693.92382812
9,128000,net_eth0,12631.0,2206.66308594,12324.0,5717.42578125
9,129000,net_eth0,10972.0,1873.81738281,10631.0,5547.75976562
9,130000,net_eth0,12213.0,2082.37988281,11834.0,6292.69042969
9,131000,net_eth0,12265.0,2154.59570312,11978.0,5355.51855469
9,132000,net_eth0,11503.0,2016.74023438,11251.0,5129.6875
9,133000,net_eth0,11961.0,2065.6015625,11650.0,5366.57714844
9,134000,net_eth0,12512.0,2149.47363281,12154.0,6095.51367188
9,135000,net_eth0,12009.0,2071.10449219,11672.0,5879.68164062
9,136000,net_eth0,12224.0,2137.22460938,11929.0,5446.02441406
9,137000,net_eth0,12184.0,2086.19726562,11846.0,5905.13867188
9,138000,net_eth0,10461.0,1822.21582031,10201.0,4666.3984375
